time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-05T11:43:15.170Z,34.3453333,-118.481,4.14,1.04,ml,18,114,0.04037,0.19,ci,ci37485656,2015-11-05T11:49:14.676Z,"8km NNW of Pacoima, California",earthquake
2015-11-05T11:41:26.760Z,34.3421667,-118.475,2.44,1.3,ml,26,45,0.03834,0.21,ci,ci37485648,2015-11-05T11:47:12.849Z,"7km NNW of Pacoima, California",earthquake
2015-11-05T11:29:59.740Z,33.2735,-116.7613333,10.74,0.63,ml,16,70,0.03748,0.18,ci,ci37485640,2015-11-05T14:04:59.816Z,"4km N of Lake Henshaw, California",earthquake
2015-11-05T11:26:15.510Z,19.3613338,-155.2940063,4.16,2.35,ml,44,59,0.0264,0.29,hv,hv61091276,2015-11-05T11:31:58.520Z,"9km SW of Volcano, Hawaii",earthquake
2015-11-05T11:12:49.000Z,64.2102,-146.1686,6.9,1.6,ml,,,,0.5,ak,ak11773868,2015-11-05T11:28:51.008Z,"28km NW of Delta Junction, Alaska",earthquake
2015-11-05T11:03:46.730Z,34.3451667,-118.4745,2.68,1.3,ml,25,74,0.04133,0.25,ci,ci37485632,2015-11-05T11:09:24.442Z,"8km NNW of Pacoima, California",earthquake
2015-11-05T10:58:54.500Z,34.3421667,-118.4661667,3.29,3.48,ml,141,12,0.041,0.25,ci,ci37485624,2015-11-05T15:01:42.547Z,"7km NNW of Pacoima, California",earthquake
2015-11-05T10:53:02.720Z,33.6238333,-116.6988333,-0.21,-0.01,ml,11,112,0.054,0.4,ci,ci37485616,2015-11-05T10:59:14.367Z,"8km NNW of Anza, California",earthquake
2015-11-05T10:42:03.700Z,18.8955,-67.6784,11,2.8,Md,8,226.8,0.54258243,0.62,pr,pr15309002,2015-11-05T12:15:57.272Z,"75km NW of Aguadilla, Puerto Rico",earthquake
2015-11-05T10:37:37.610Z,46.1445007,-120.0441666,3.83,2.05,md,16,92,0.2475,0.16,uw,uw61101981,2015-11-05T10:41:04.700Z,"8km SSW of Mabton, Washington",earthquake
2015-11-05T10:25:31.154Z,39.3165,-119.9849,5.7,0.7,ml,19,38.07,0.047,0.1019,nn,nn00517787,2015-11-05T11:06:29.162Z,"7km N of Incline Village, Nevada",earthquake
2015-11-05T10:20:15.082Z,38.8786,-116.1264,0,1.5,ml,6,155.45,0.678,0.4652,nn,nn00517777,2015-11-05T11:00:02.826Z,"58km WNW of Currant, Nevada",earthquake
2015-11-05T10:11:44.340Z,33.6606667,-116.7125,16.74,0.63,ml,14,92,0.0533,0.11,ci,ci37485608,2015-11-05T14:05:02.396Z,"9km S of Idyllwild, California",earthquake
2015-11-05T10:02:16.050Z,33.5971667,-116.8176667,8.31,0.59,ml,17,54,0.04129,0.12,ci,ci37485600,2015-11-05T14:05:20.258Z,"14km WNW of Anza, California",earthquake
2015-11-05T09:57:13.592Z,41.8597,-119.5931,8.9,2.8,ml,8,106.84,0.177,0.1993,nn,nn00517774,2015-11-05T10:36:19.737Z,"72km ESE of Lakeview, Oregon",earthquake
2015-11-05T09:49:24.450Z,33.4133333,-116.8666667,14.84,0.97,ml,31,41,0.05966,0.13,ci,ci37485592,2015-11-05T14:05:25.200Z,"3km S of Aguanga, California",earthquake
2015-11-05T09:14:12.750Z,33.933,-116.789,16.39,0.8,ml,27,51,0.0994,0.17,ci,ci37485584,2015-11-05T14:05:42.434Z,"2km N of Cabazon, California",earthquake
2015-11-05T09:00:16.110Z,33.4715,-116.4818333,10.42,0.35,ml,14,123,0.06985,0.22,ci,ci37485576,2015-11-05T14:06:00.620Z,"20km ESE of Anza, California",earthquake
2015-11-05T08:59:18.000Z,60.1566,-141.4517,0.4,1.4,ml,,,,1.03,ak,ak11773660,2015-11-05T09:29:54.624Z,"55km E of Cape Yakataga, Alaska",earthquake
2015-11-05T08:58:42.000Z,66.4878,-155.8206,51.6,2.8,ml,,,,1.21,ak,ak11773659,2015-11-05T09:30:27.248Z,"66km SE of Kobuk, Alaska",earthquake
2015-11-05T08:51:47.000Z,60.063,-140.7328,1.3,1.5,ml,,,,0.24,ak,ak11773658,2015-11-05T09:13:17.887Z,"80km NW of Yakutat, Alaska",earthquake
2015-11-05T08:51:27.144Z,39.1795,-119.1222,9.9,0.8,ml,5,160.42,0.215,0.1077,nn,nn00517783,2015-11-05T10:53:37.244Z,"21km N of Yerington, Nevada",earthquake
2015-11-05T08:35:27.480Z,34.2285,-117.0458333,8.11,1.29,ml,40,50,0.04404,0.16,ci,ci37485568,2015-11-05T14:07:29.720Z,"6km ENE of Running Springs, California",earthquake
2015-11-05T08:29:07.510Z,33.2755,-116.1375,11.34,0.88,ml,19,172,0.1279,0.31,ci,ci37485560,2015-11-05T08:33:13.307Z,"15km N of Ocotillo Wells, California",earthquake
2015-11-05T08:28:03.000Z,60.0381,-141.6529,19.8,1.5,ml,,,,0.33,ak,ak11773448,2015-11-05T08:56:04.434Z,"43km E of Cape Yakataga, Alaska",earthquake
2015-11-05T08:23:05.160Z,32.1354,140.8998,65.43,5.3,mb,,74,1.339,0.72,us,us10003uuj,2015-11-05T08:42:29.922Z,"147km SE of Hachijo-jima, Japan",earthquake
2015-11-05T08:22:44.920Z,34.0323333,-117.2545,15.71,1.19,ml,17,116,0.1077,0.15,ci,ci37485552,2015-11-05T14:06:35.961Z,"2km SSE of Loma Linda, California",earthquake
2015-11-05T08:22:01.270Z,38.7890015,-122.8028336,2.47,2.06,md,21,72,0.01983,0.04,nc,nc72548650,2015-11-05T08:36:36.997Z,"4km WNW of The Geysers, California",earthquake
2015-11-05T08:17:36.430Z,32.4736667,-115.593,1.04,2.23,ml,22,150,0.2012,0.22,ci,ci37485544,2015-11-05T08:21:45.926Z,"12km S of Progreso, B.C., MX",earthquake
2015-11-05T08:06:01.023Z,38.3199,-118.7175,13.5,1.4,ml,12,94.76,0.181,0.128,nn,nn00517771,2015-11-05T10:28:25.655Z,"24km SSW of Hawthorne, Nevada",earthquake
2015-11-05T07:54:30.640Z,32.8618333,-115.9976667,4.63,1.2,ml,23,48,0.03458,0.29,ci,ci37485536,2015-11-05T07:58:26.791Z,"14km N of Ocotillo, California",earthquake
2015-11-05T07:47:23.820Z,38.8344994,-122.791832,0.19,2.06,md,15,82,0.02663,0.1,nc,nc72548640,2015-11-05T07:49:03.610Z,"6km WNW of Cobb, California",earthquake
2015-11-05T07:42:05.780Z,39.088,-119.6342,11.7,0.8,ml,18,70.63,0.027,0.1742,nn,nn00517770,2015-11-05T10:50:28.534Z,"8km ENE of Johnson Lane, Nevada",earthquake
2015-11-05T07:38:35.000Z,61.3567,-146.9399,20.7,1.6,ml,,,,0.44,ak,ak11773447,2015-11-05T07:57:50.200Z,"40km NW of Valdez, Alaska",earthquake
2015-11-05T07:37:28.943Z,39.2189,-120.0796,9,-0.1,ml,5,159.92,0.038,0.138,nn,nn00517782,2015-11-05T10:44:03.954Z,"3km SW of Tahoe Vista, California",earthquake
2015-11-05T07:33:41.313Z,39.4569,-118.4042,1.8,1.3,ml,8,234.73,0.798,0.2032,nn,nn00517780,2015-11-05T10:40:53.792Z,"32km E of Fallon, Nevada",earthquake
2015-11-05T07:02:11.559Z,38.6527,-118.7828,11.3,0.7,ml,5,161.68,0.205,0.0502,nn,nn00517779,2015-11-05T10:37:40.699Z,"19km NW of Hawthorne, Nevada",earthquake
2015-11-05T06:58:39.800Z,34.1026667,-116.9491667,5.99,0.96,ml,24,63,0.01429,0.19,ci,ci37485512,2015-11-05T07:02:45.818Z,"12km NE of Yucaipa, California",earthquake
2015-11-05T06:40:45.810Z,38.2416649,-121.7958298,17.9,2.48,md,46,56,0.1968,0.35,nc,nc72548635,2015-11-05T07:59:24.378Z,"13km NW of Rio Vista, California",earthquake
2015-11-05T06:36:35.850Z,33.7098333,-116.7275,17.82,0.98,ml,36,40,0.01368,0.16,ci,ci37485504,2015-11-05T14:06:53.760Z,"3km SSW of Idyllwild, California",earthquake
2015-11-05T06:05:16.320Z,36.3266667,-89.5016667,7.98,1.21,md,8,116,0.0215,0.02,nm,nm60095022,2015-11-05T14:10:33.600Z,"6km SSW of Tiptonville, Tennessee",earthquake
2015-11-05T05:48:26.240Z,33.2831667,-116.8125,13.64,0.7,ml,21,99,0.06513,0.17,ci,ci37485488,2015-11-05T14:07:11.525Z,"6km NW of Lake Henshaw, California",earthquake
2015-11-05T04:52:01.000Z,61.2744,-146.6023,25.8,2.5,ml,,,,0.76,ak,ak11773238,2015-11-05T12:54:38.104Z,"21km NW of Valdez, Alaska",earthquake
2015-11-05T04:50:01.000Z,63.079,-151.5125,3.3,2.2,ml,,,,0.72,ak,ak11773235,2015-11-05T05:03:49.958Z,"110km NW of Talkeetna, Alaska",earthquake
2015-11-05T04:08:26.000Z,64.9359,-150.388,6.4,1.5,ml,,,,0.81,ak,ak11773038,2015-11-05T04:29:42.611Z,"13km ESE of Manley Hot Springs, Alaska",earthquake
2015-11-05T03:28:59.241Z,39.6684,-119.3906,9,0.1,ml,3,256.86,0.042,0.0551,nn,nn00517767,2015-11-05T04:24:07.722Z,"13km WNW of Fernley, Nevada",earthquake
2015-11-05T03:23:49.298Z,39.1899,-119.6386,7,0.1,ml,5,158.41,0.105,0.1004,nn,nn00517766,2015-11-05T04:21:01.129Z,"6km SW of Dayton, Nevada",earthquake
2015-11-05T02:59:08.885Z,41.0652,-117.398,13.4,2.4,ml,13,111.85,0.648,0.2289,nn,nn00517745,2015-11-05T11:01:54.092Z,"30km ENE of Winnemucca, Nevada",earthquake
2015-11-05T02:45:54.000Z,64.8965,-150.3378,17.5,2.5,ml,,,,0.65,ak,ak11773026,2015-11-05T10:48:28.763Z,"18km SE of Manley Hot Springs, Alaska",earthquake
2015-11-05T02:37:02.850Z,38.2641,-118.4947,9.1,0,ml,4,167.3,0.015,0.0216,nn,nn00517760,2015-11-05T03:56:20.685Z,"31km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:34:41.697Z,38.2684,-118.4848,7.8,0.8,ml,6,165.32,0.023,0.1145,nn,nn00517759,2015-11-05T03:56:20.413Z,"30km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:32:32.505Z,38.2561,-118.5127,10.4,1,ml,4,230.82,0.008,0.1032,nn,nn00517756,2015-11-05T03:34:33.934Z,"31km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:27:30.224Z,38.2687,-118.486,7.8,0.8,ml,5,176.19,0.023,0.0888,nn,nn00517755,2015-11-05T03:31:25.388Z,"30km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:27:12.852Z,38.27,-118.4881,8,0.8,ml,5,170.45,0.023,0.0861,nn,nn00517754,2015-11-05T03:31:25.016Z,"30km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:25:05.755Z,38.2695,-118.4887,8,0.8,ml,5,170.18,0.022,0.0945,nn,nn00517753,2015-11-05T03:28:16.598Z,"30km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:22:46.786Z,41.8741,-119.6242,7.1,0.8,ml,5,221.17,0.15,0.1635,nn,nn00517764,2015-11-05T04:08:42.596Z,"69km ESE of Lakeview, Oregon",earthquake
2015-11-05T02:22:01.421Z,38.2626,-118.4921,8.9,0.3,ml,4,177.85,0.015,0.0308,nn,nn00517752,2015-11-05T03:28:15.252Z,"31km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:20:26.501Z,38.2722,-118.4821,8.1,0.5,ml,6,162.78,0.028,0.1097,nn,nn00517750,2015-11-05T03:25:07.583Z,"30km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:17:35.587Z,38.2711,-118.4847,8.6,0.8,ml,6,160.97,0.026,0.1066,nn,nn00517749,2015-11-05T03:25:07.197Z,"30km SSE of Hawthorne, Nevada",earthquake
2015-11-05T02:01:47.000Z,59.59,-152.8739,100,1.9,ml,18,190.799984736001,,0.57,ak,ak11772726,2015-11-05T02:47:24.781Z,"62km WSW of Anchor Point, Alaska",earthquake
2015-11-05T01:59:22.690Z,56.1771,162.3176,54.59,5.2,mb,,97,3.812,0.92,us,us10003ut4,2015-11-05T10:02:02.537Z,"11km WSW of Ust'-Kamchatsk Staryy, Russia",earthquake
2015-11-05T01:54:15.840Z,34.0945,-117.454,3.95,2.26,ml,89,23,0.01362,0.21,ci,ci37485456,2015-11-05T11:28:21.521Z,"0km SE of Fontana, California",earthquake
2015-11-05T01:28:45.610Z,-30.7354,-71.502,37.53,4.1,mb,,70,0.13,0.77,us,us10003ut1,2015-11-05T09:31:12.430Z,"32km WSW of Ovalle, Chile",earthquake
2015-11-05T01:23:13.973Z,36.834,-115.3552,2.1,1.9,ml,26,75.26,0.366,0.1643,nn,nn00517738,2015-11-05T02:28:36.409Z,"61km SSW of Alamo, Nevada",earthquake
2015-11-05T01:22:32.441Z,41.8806,-119.6149,7.2,1.3,ml,4,220.35,0.152,0.2135,nn,nn00517763,2015-11-05T04:05:35.704Z,"69km ESE of Lakeview, Oregon",earthquake
2015-11-05T01:19:33.700Z,19.2208,-67.1285,23,2.9,Md,3,356.4,0.74919495,0.07,pr,pr15309001,2015-11-05T09:22:12.796Z,"80km N of Isabela, Puerto Rico",earthquake
2015-11-05T01:05:14.880Z,38.8264999,-122.8059998,0.92,2.07,md,11,86,0.06409,0.05,nc,nc72548565,2015-11-05T01:08:28.021Z,"6km NW of The Geysers, California",earthquake
2015-11-05T00:53:36.540Z,37.5661659,-118.8533325,5.65,1.97,md,28,88,0.03062,0.05,nc,nc72548555,2015-11-05T00:55:14.170Z,"13km SE of Mammoth Lakes, California",earthquake
2015-11-05T00:50:59.492Z,38.6502,-118.7929,9.7,0.6,ml,8,154.77,0.213,0.078,nn,nn00517747,2015-11-05T03:18:55.558Z,"20km NW of Hawthorne, Nevada",earthquake
2015-11-05T00:39:05.950Z,46.6056667,-119.8511667,6.946,1.69,ml,19,135,0.04725,0.12,uw,uw61101841,2015-11-05T01:27:04.817Z,"9km SSE of Desert Aire, Washington",earthquake
2015-11-05T00:26:42.900Z,19.0368,-67.9383,25,3.1,Md,11,324,0.7815343,0.38,pr,pr15309000,2015-11-05T08:29:18.716Z,"70km NE of Punta Cana, Dominican Republic",earthquake
2015-11-05T00:26:31.000Z,62.2861,-148.9448,8.6,1.7,ml,,,,1.07,ak,ak11772529,2015-11-05T00:48:12.302Z,"49km ENE of Y, Alaska",earthquake
2015-11-05T00:13:36.000Z,63.0936,-151.4871,11.8,2.7,ml,,,,0.78,ak,ak11772524,2015-11-05T08:16:05.829Z,"111km NW of Talkeetna, Alaska",earthquake
2015-11-05T00:12:23.540Z,36.5163,70.3132,194.99,4,mb,,92,0.643,0.86,us,us10003usp,2015-11-05T02:43:40.628Z,"41km E of Farkhar, Afghanistan",earthquake
2015-11-04T23:58:49.400Z,18.995,-67.7561,38,3,Md,13,237.6,0.76177136,0.3,pr,pr15308010,2015-11-05T08:01:25.545Z,"82km NE of Punta Cana, Dominican Republic",earthquake
2015-11-04T23:56:08.000Z,63.2564,-151.2443,0.3,1.8,ml,,,,0.62,ak,ak11772522,2015-11-05T00:19:47.807Z,"115km W of Cantwell, Alaska",earthquake
2015-11-04T23:51:11.200Z,19.1819,-67.7975,54,3.3,Md,14,252,0.86328099,0.31,pr,pr15308011,2015-11-05T07:53:39.886Z,"92km NE of Punta Cana, Dominican Republic",earthquake
2015-11-04T23:37:15.990Z,33.5966667,-116.8128333,8.97,0.71,ml,20,115,0.04424,0.07,ci,ci37485400,2015-11-05T01:21:06.412Z,"14km WNW of Anza, California",earthquake
2015-11-04T23:14:29.380Z,35.0016667,-118.2175,-0.92,1.27,ml,7,138,0.1024,0.26,ci,ci37485392,2015-11-05T01:15:25.718Z,"7km SW of Mojave, California",quarry blast
2015-11-04T23:11:10.570Z,35.8818,-97.3732,7.22,2.5,mb_lg,,65,0.107,0.36,us,us10003us3,2015-11-05T07:13:38.288Z,"4km E of Guthrie, Oklahoma",earthquake
2015-11-04T23:05:11.900Z,37.776165,-121.9583359,7.14,1.22,md,5,179,0.09217,0,nc,nc72548530,2015-11-04T23:06:47.110Z,"1km ESE of San Ramon, California",earthquake
2015-11-04T23:01:53.060Z,33.473,-116.4831667,11.24,1.34,ml,40,78,0.06952,0.12,ci,ci37485384,2015-11-05T01:13:04.220Z,"20km ESE of Anza, California",earthquake
2015-11-04T22:57:37.670Z,32.1178333,-115.058,21.12,3.4,ml,19,129,0.1852,0.26,ci,ci37485376,2015-11-05T01:24:53.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake
2015-11-04T22:54:54.470Z,37.7781667,-121.9638333,9.24,3.1,mw,119,52,0.01215,0.11,nc,nc72548525,2015-11-05T15:01:06.867Z,"1km E of San Ramon, California",earthquake
2015-11-04T22:46:56.030Z,33.322,-117.1623333,-0.78,1,ml,20,174,0.1281,0.15,ci,ci37485368,2015-11-05T00:55:40.309Z,"9km WSW of Pala, California",quarry blast
2015-11-04T22:45:23.000Z,60.3687,-151.9965,76.9,1.9,ml,,,,0.69,ak,ak11772378,2015-11-04T23:08:53.147Z,"38km W of Cohoe, Alaska",earthquake
2015-11-04T22:32:11.000Z,59.9616,-141.5837,0.6,1.6,ml,,,,0.77,ak,ak11772200,2015-11-05T01:53:38.807Z,"48km ESE of Cape Yakataga, Alaska",earthquake
2015-11-04T22:09:06.310Z,33.8663333,-117.5063333,2.63,0.72,ml,15,84,0.0706,0.1,ci,ci37485336,2015-11-05T00:52:18.110Z,"2km SE of Home Gardens, California",quarry blast
2015-11-04T21:56:10.000Z,63.1694,-151.3451,0.2,1.4,ml,,,,0.71,ak,ak11772098,2015-11-05T01:53:38.135Z,"113km NNW of Talkeetna, Alaska",earthquake
2015-11-04T21:55:15.500Z,35.8551,-97.353,5.098,2.6,ml,,57,,0.5,us,us10003uqw,2015-11-05T01:02:11.553Z,"7km ESE of Guthrie, Oklahoma",earthquake
2015-11-04T21:34:58.000Z,60.9825,-146.9432,16.3,1.9,ml,,,,0.76,ak,ak11772084,2015-11-04T21:53:31.462Z,"36km WSW of Valdez, Alaska",earthquake
2015-11-04T21:27:00.780Z,36.0146675,-120.5791702,3.45,1.5,md,21,112,0.0349,0.07,nc,nc72548495,2015-11-04T21:28:37.850Z,"24km SW of Coalinga, California",earthquake
2015-11-04T21:25:54.020Z,46.15,-122.7128333,0.016,1.22,ml,13,153,0.0214,0.22,uw,uw61101771,2015-11-04T22:05:22.455Z,"15km E of Kelso, Washington",explosion
2015-11-04T21:22:36.250Z,33.4836667,-116.4916667,9.56,0.24,ml,10,247,0.08064,0.08,ci,ci37485312,2015-11-05T00:48:55.522Z,"19km ESE of Anza, California",earthquake
2015-11-04T21:10:28.940Z,33.2805,-116.7716667,8.98,0.9,ml,18,185,0.1055,0.15,ci,ci37485296,2015-11-04T21:59:28.773Z,"4km N of Lake Henshaw, California",earthquake
2015-11-04T21:08:55.970Z,47.9321667,-121.6011667,4.714,0.38,md,4,233,0.171,0.07,uw,uw61101766,2015-11-04T21:36:00.970Z,"11km NE of Gold Bar, Washington",earthquake
2015-11-04T20:59:01.000Z,61.035,-148.1444,1.3,2.4,ml,,,,0.87,ak,ak11771904,2015-11-04T21:16:01.903Z,"41km NE of Whittier, Alaska",earthquake
2015-11-04T20:58:51.730Z,38.8286667,-122.8011703,1.46,2.13,md,15,84,0.02117,0.05,nc,nc72548485,2015-11-05T05:01:26.949Z,"6km W of Cobb, California",earthquake
2015-11-04T20:57:41.800Z,19.0268,-65.0645,33,2.5,Md,3,327.6,0.74470337,0.27,pr,pr15308009,2015-11-05T05:00:41.430Z,"77km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-11-04T20:51:20.320Z,46.0265,-111.9625,-2,1.25,ml,5,268,0.198,0.08,mb,mb80104569,2015-11-05T04:42:34.700Z,"20km NNE of Whitehall, Montana",quarry blast
2015-11-04T20:50:08.000Z,62.9163,-150.5034,98.3,1.9,ml,,,,0.37,ak,ak11771901,2015-11-04T21:04:20.613Z,"69km NNW of Talkeetna, Alaska",earthquake
2015-11-04T20:44:50.580Z,-9.1311,119.0622,107.36,4.3,mb,,89,3.176,0.98,us,us20004226,2015-11-05T04:47:19.781Z,"35km N of Padedemanu, Indonesia",earthquake
2015-11-04T20:41:59.000Z,61.6693,-150.2527,20.3,1.5,ml,,,,0.39,ak,ak11771892,2015-11-04T20:51:33.408Z,"14km SW of Willow, Alaska",earthquake
2015-11-04T20:06:57.250Z,46.0186667,-112.4701667,-2,2.13,ml,6,155,0.197,0.09,mb,mb80104544,2015-11-04T21:08:56.440Z,"5km ENE of Butte, Montana",quarry blast
2015-11-04T20:02:57.000Z,61.2074,-151.605,67.5,1.5,ml,,,,0.44,ak,ak11771691,2015-11-04T20:16:30.965Z,"60km NNW of Nikiski, Alaska",earthquake
2015-11-04T19:45:14.680Z,37.058,-97.9318333,5.43,1.98,ml,20,75,0.06946,0.05,ismpkansas,ismpkansas70150313,2015-11-04T21:50:29.920Z,"13km SE of Anthony, Kansas",earthquake
2015-11-04T19:31:27.280Z,36.4288333,-117.9958333,6.48,1.44,ml,13,132,0.06889,0.13,ci,ci37485264,2015-11-04T20:59:11.492Z,"16km N of Olancha, California",earthquake
2015-11-04T19:29:54.270Z,44.1126667,-121.2981667,0.023,1.41,ml,11,92,0.05065,0.24,uw,uw61101726,2015-11-04T20:21:41.380Z,"6km NNE of Bend, Oregon",explosion
2015-11-04T19:28:11.460Z,33.7006667,-116.7303333,18,1.81,ml,61,37,0.01707,0.15,ci,ci37485256,2015-11-04T20:03:44.280Z,"4km SSW of Idyllwild, California",earthquake
2015-11-04T19:22:52.184Z,36.7216,-116.1147,1,-0.1,ml,7,137.01,0.012,0.118,nn,nn00517706,2015-11-04T21:00:22.035Z,"58km NNW of Pahrump, Nevada",earthquake
2015-11-04T19:18:46.150Z,39.1889,-119.6319,7.2,1.6,ml,28,76.31,0.076,0.1511,nn,nn00517704,2015-11-04T19:40:43.651Z,"6km SSW of Dayton, Nevada",earthquake
2015-11-04T18:56:43.730Z,33.7003333,-116.7321667,17.57,2.19,ml,79,16,0.01849,0.18,ci,ci37485248,2015-11-04T19:22:12.000Z,"5km SSW of Idyllwild, California",earthquake
2015-11-04T18:55:32.590Z,36.8383333,-112.8571667,18.12,1.27,md,5,250,0.18,0.04,uu,uu60128452,2015-11-04T20:33:49.440Z,"19km SSE of Colorado City, Arizona",earthquake
2015-11-04T18:47:42.520Z,-8.5827,125.0881,54.59,4.4,mb,,54,1.419,0.95,us,us20004213,2015-11-05T02:50:34.615Z,"53km W of Dili, East Timor",earthquake
2015-11-04T18:10:06.720Z,33.5953333,-116.7428333,11.87,0.89,ml,28,69,0.03021,0.11,ci,ci37485240,2015-11-04T18:51:26.691Z,"8km NW of Anza, California",earthquake
2015-11-04T18:08:04.500Z,36.4876667,-89.5703333,6.06,1.51,md,21,105,0.05609,0.27,nm,nm60094967,2015-11-05T13:32:11.170Z,"11km SSW of New Madrid, Missouri",earthquake
2015-11-04T17:54:07.000Z,60.9841,-150.0063,31.8,1.6,ml,,,,0.86,ak,ak11771503,2015-11-04T18:12:52.148Z,"26km SSW of Anchorage, Alaska",earthquake
2015-11-04T17:18:39.130Z,47.5406667,-124.1443333,19.479,0.97,md,8,249,0.2097,0.19,uw,uw61101701,2015-11-04T19:34:46.700Z,"24km WNW of Quinault Census Designated Place, Washington",earthquake
2015-11-04T17:16:49.000Z,63.1334,-151.3485,0.1,1.6,ml,,,,0.56,ak,ak11771334,2015-11-04T17:32:47.608Z,"110km NW of Talkeetna, Alaska",earthquake
2015-11-04T16:55:27.319Z,36.7023,-116.0587,3.9,-0.2,ml,8,141.11,0.033,0.0394,nn,nn00517715,2015-11-04T21:34:13.605Z,"55km N of Pahrump, Nevada",earthquake
